Series Name,Series Code,Region,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Hungary,HUN,69.31560976,71.24634146,75.56585366,75.76341463,75.56829268,76.06341463,75.81707317,76.06585366,76.3195122,75.56829268,74.46585366,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Iceland,ISL,78.03634146,79.65365854,82.06097561,82.86097561,82.46829268,82.20487805,82.66097561,82.86097561,83.16341463,83.06341463,83.11707317,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,India,IND,58.652,62.669,68.46,69.074,69.636,70.117,70.467,70.71,70.91,70.15,67.24,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,Indonesia,IDN,63.181,66.433,69.264,69.533,69.699,69.798,69.936,70.338,70.518,68.808,67.57,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,"Iran, Islamic Rep.",IRN,64.367,69.691,74.449,74.782,75.124,75.6,75.971,76.195,76.103,74.832,73.875,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,Iraq,IRQ,58.435,66.817,68.253,68.914,69.44,68.988,70.413,71.514,71.576,69.123,70.378,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Ireland,IRL,74.84607317,76.53658537,80.94878049,81.34878049,81.45365854,81.65365854,82.15609756,82.20487805,82.70243902,82.55609756,82.10243902,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Isle of Man,IMN,71.959,74.725,79.473,80.037,78.905,80.314,80.457,80.596,80.737,80.588,80.525,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,Israel,ISR,76.60731707,78.95365854,82.05609756,82.15365854,82.05121951,82.40731707,82.55121951,82.80243902,82.80487805,82.64878049,82.5,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Italy,ITA,76.97073171,79.77804878,82.6902439,83.0902439,82.54390244,83.24390244,82.94634146,83.34634146,83.49756098,82.19512195,82.79512195,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North America,Jamaica,JAM,72.304,70.944,73.412,72.982,72.394,72.02,71.911,71.793,71.767,71.869,70.5,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,Japan,JPN,78.83707317,81.07609756,83.33195122,83.58780488,83.79390244,83.98487805,84.0997561,84.21097561,84.35634146,84.56,84.44560976,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,Jordan,JOR,69.854,71.918,74.562,74.789,75.011,75.215,75.502,75.774,76.044,75.184,74.256,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,Kazakhstan,KAZ,68.33658537,65.45,70.62,71.44,71.97,72.41,72.95,73.15,73.18,71.37,70.23,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Kenya,KEN,58.614,54.411,61.389,61.816,61.892,62.163,62.481,62.676,62.943,62.675,61.427,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Oceania,Kiribati,KIR,60.917,64.409,65.588,65.815,66.059,66.332,66.597,66.855,67.15,67.266,67.417,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,"Korea, Dem. People's Rep.",PRK,70.21,60.763,72.319,72.942,72.784,72.805,72.978,73.031,73.198,73.274,73.284,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,"Korea, Rep.",KOR,71.59756098,75.9097561,81.27073171,81.72195122,82.02439024,82.27560976,82.62682927,82.62682927,83.22682927,83.42682927,83.52682927,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,#N/A,Kosovo,XKX,70.917,74.072,78.587,78.88,78.922,78.981,78.783,78.696,79.022,76.567,76.806,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,Kuwait,KWT,73.281,76.722,79.164,79.445,79.562,79.701,79.781,79.722,79.685,76.92,78.673,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,Kyrgyz Republic,KGZ,68.29756098,68.55853659,70.20243902,70.40243902,70.65121951,70.95121951,71.2,71.4,71.6,71.8,71.9,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,Lao PDR,LAO,53.713,58.378,65.718,66.361,66.67,67.167,67.434,67.634,68.138,68.497,68.061,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Latvia,LVA,69.27317073,70.31463415,73.98292683,74.12439024,74.4804878,74.5804878,74.62926829,74.78292683,75.38780488,75.18536585,73.28292683,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,Lebanon,LBN,64.475,73.931,78.765,78.973,79.229,79.505,79.654,79.729,79.236,77.804,75.047,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Lesotho,LSO,59.398,48.427,49.002,50.033,51.101,52.264,53.064,53.733,54.173,54.693,53.062,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Liberia,LBR,36.688,51.356,59.943,59.121,59.148,60.416,60.553,60.853,61.104,60.948,60.747,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Libya,LBY,69.423,70.68,72.34,71.511,71.698,71.756,72.482,72.794,72.463,72.472,71.911,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Liechtenstein,LIE,..,76.82682927,82.26097561,82.07317073,82.65609756,82.25853659,83.74634146,83.04146341,84.16097561,81.65853659,84.40243902,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Lithuania,LTU,71.16073171,72.0195122,73.91463415,74.51707317,74.32195122,74.67073171,75.4804878,75.6804878,76.28292683,74.97804878,74.33902439,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Luxembourg,LUX,75.43831707,77.87317073,81.8,82.22926829,82.29268293,82.68536585,82.09512195,82.29512195,82.63902439,82.14390244,82.74878049,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,"Macao SAR, China",MAC,77.424,80.959,83.727,83.883,83.984,84.231,84.563,84.928,84.978,85.184,85.399,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Madagascar,MDG,51.701,57.938,63.962,64.255,64.339,64.997,65.094,65.27,65.882,65.182,64.485,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Malawi,MWI,43.323,44.518,59.729,60.899,61.378,62.209,62.977,63.276,64.119,63.717,62.904,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,Malaysia,MYS,71.307,72.775,75.035,75.146,75.094,75.289,75.476,75.644,75.76,75.938,74.884,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Asia,Maldives,MDV,63.578,70.876,79.057,79.424,79.695,79.872,79.943,80.013,80.116,79.875,79.918,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Mali,MLI,46.62,50.539,57.357,57.9,58.363,58.731,59.132,59.393,59.664,58.633,58.941,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe,Malta,MLT,75.87997561,78.34878049,81.74634146,82.04634146,81.89756098,82.45365854,82.34634146,82.44878049,82.85853659,82.34878049,82.86097561,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Oceania,Marshall Islands,MHL,62.176,63.275,63.464,63.623,63.827,64.057,64.27,64.5,64.746,64.977,65.269,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Mauritania,MRT,59.77,61.028,63.911,64.155,64.485,64.768,65.083,65.31,65.687,64.532,64.364,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa,Mauritius,MUS,69.40487805,71.66341463,74.01707317,74.19439024,74.35317073,74.39487805,74.51463415,74.41634146,74.23585366,74.17707317,73.6802439,..
